"","values"
"1",0
"2",14.35
"3",13.15
"4",14.92
"5",14.92
"6",52.35
"7",52.9
"8",52.33
"9",52.36
"10",-106.6
"11",-109.19
"12",-110.36
"13",-111.14
"14",-111.99
"15",-113.02
"16",-112.99
"17",-100
"18",-107.65
"19",-105.74
"20",-106.21
"21",-106.94
"22",-109.51
"23",-111.34
"24",-114.38
"25",-117.07
"26",-118.04
"27",-119.23
"28",-119.51
"29",-119.65
"30",-126.75
"31",-124.18
"32",-121.77
"33",-122.35
"34",52.35
"35",52.92
"36",14.92
"37",14.35
"38",14.35
"39",14.35
"40",52.92
"41",14.35
"42",13.7
"43",14.92
"44",14.92
"45",14.92
"46",13.14
"47",14.35
"48",52.92
"49",52.92
"50",52.92
"51",90.92
"52",90.92
"53",90.92
"54",90.92
"55",90.92
"56",90.92
"57",90.92
"58",90.92
"59",90.92
"60",14.35
"61",52.35
"62",14.92
"63",14.92
"64",52.92
"65",52.92
"66",14.45
"67",14.92
"68",52.92
"69",52.92
"70",12.19
"71",52.35
"72",52.35
"73",52.9
"74",14.35
"75",52.35
"76",52.35
"77",52.92
"78",52.92
"79",90.92
"80",90.92
"81",90.92
"82",52.73
"83",14.52
"84",53.2
"85",53.2
"86",58.59
"87",58.67
"88",60.55
"89",60.39
"90",62.04
"91",63.32
"92",63.32
"93",63.31
"94",63.32
"95",63.32
"96",63.32
"97",63.32
